qualifyId,raceId,driverId,constructorId,number,position,q1,q2,q3,circuitId
141,24,14,9,9,13,00:01:18.168000,,,7
142,24,15,7,11,14,00:01:18.039000,,,7
143,24,12,4,6,15,00:01:18.505000,,,7
144,24,7,5,14,16,00:01:18.916000,,,7
145,24,16,10,20,17,00:01:19.108000,,,7
146,24,21,10,21,18,00:01:19.165000,,,7
147,24,18,11,16,19,00:01:23.565000,,,7
148,24,20,5,15,20,,,,7
149,25,8,6,1,1,00:01:15.133000,00:01:16.449000,00:01:16.449000,8
150,25,13,6,2,2,00:01:15.024000,00:01:16.490000,00:01:16.490000,8
151,25,1,1,22,3,00:01:15.634000,00:01:16.693000,00:01:16.693000,8
152,25,4,4,5,4,00:01:15.754000,00:01:16.840000,00:01:16.840000,8
153,25,15,7,11,5,00:01:15.521000,00:01:16.920000,00:01:16.920000,8
154,25,5,1,23,6,00:01:15.965000,00:01:16.944000,00:01:16.944000,8
155,25,9,2,4,7,00:01:15.687000,00:01:17.037000,00:01:17.037000,8
156,25,17,9,10,8,00:01:16.020000,00:01:17.233000,00:01:17.233000,8
157,25,14,9,9,9,00:01:15.802000,00:01:17.426000,00:01:17.426000,8
158,25,10,7,12,10,00:01:15.727000,00:01:17.596000,00:01:17.596000,8
159,25,12,4,6,11,00:01:15.848000,,,8
160,25,2,2,3,12,00:01:16.006000,,,8
161,25,20,5,15,13,00:01:15.918000,,,8
162,25,7,5,14,14,00:01:16.072000,,,8
163,25,3,3,7,15,00:01:16.085000,,,8
164,25,6,3,8,16,00:01:16.243000,,,8
165,25,18,11,16,17,00:01:16.306000,,,8
166,25,22,11,17,18,00:01:16.330000,,,8
167,25,21,10,21,19,00:01:16.971000,,,8
168,25,16,10,20,20,00:01:17.053000,,,8
169,26,5,1,23,1,00:01:19.957000,00:01:21.049000,00:01:21.049000,9
170,26,17,9,10,2,00:01:20.982000,00:01:21.554000,00:01:21.554000,9
171,26,8,6,1,3,00:01:20.370000,00:01:21.706000,00:01:21.706000,9
172,26,1,1,22,4,00:01:20.288000,00:01:21.835000,00:01:21.835000,9
173,26,2,2,3,5,00:01:21.022000,00:01:21.873000,00:01:21.873000,9
174,26,4,4,5,6,00:01:20.998000,00:01:22.029000,00:01:22.029000,9
175,26,12,4,6,7,00:01:20.818000,00:01:22.491000,00:01:22.491000,9
176,26,20,5,15,8,00:01:20.318000,00:01:23.251000,00:01:23.251000,9
177,26,13,6,2,9,00:01:20.676000,00:01:23.305000,00:01:23.305000,9
178,26,9,2,4,10,00:01:20.444000,,,9
179,26,14,9,9,11,00:01:21.224000,,,9
180,26,10,7,12,12,00:01:20.893000,,,9
181,26,7,5,14,13,00:01:20.584000,,,9
182,26,15,7,11,14,00:01:21.145000,,,9
183,26,6,3,8,15,00:01:21.407000,,,9
184,26,22,11,17,16,00:01:21.512000,,,9
185,26,18,11,16,17,00:01:21.631000,,,9
186,26,3,3,7,18,00:01:21.668000,,,9
187,26,16,10,20,19,00:01:21.786000,,,9
188,26,21,10,21,20,00:01:21.885000,,,9
189,27,1,1,22,1,00:01:15.218000,00:01:15.666000,00:01:15.666000,10
190,27,13,6,2,2,00:01:14.921000,00:01:15.859000,00:01:15.859000,10
191,27,5,1,23,3,00:01:15.476000,00:01:16.143000,00:01:16.143000,10
192,27,15,7,11,4,00:01:15.560000,00:01:16.191000,00:01:16.191000,10
193,27,4,4,5,5,00:01:15.917000,00:01:16.385000,00:01:16.385000,10
194,27,8,6,1,6,00:01:15.201000,00:01:16.389000,00:01:16.389000,10
195,27,9,2,4,7,00:01:15.985000,00:01:16.521000,00:01:16.521000,10
196,27,17,9,10,8,00:01:15.900000,00:01:17.014000,00:01:17.014000,10
197,27,20,5,15,9,00:01:15.532000,00:01:17.244000,00:01:17.244000,10
198,27,14,9,9,10,00:01:15.975000,00:01:17.503000,00:01:17.503000,10
199,27,10,7,12,11,00:01:15.560000,,,10
200,27,2,2,3,12,00:01:15.596000,,,10
201,27,3,3,7,13,00:01:15.863000,,,10
202,27,18,11,16,14,00:01:15.993000,,,10
203,27,7,5,14,15,00:01:15.927000,,,10
204,27,6,3,8,16,00:01:16.083000,,,10
205,27,12,4,6,17,00:01:16.189000,,,10
206,27,22,11,17,18,00:01:16.246000,,,10
207,27,16,10,20,19,00:01:16.657000,,,10
208,27,21,10,21,20,00:01:16.963000,,,10
209,28,1,1,22,1,00:01:19.376000,00:01:20.899000,00:01:20.899000,11
210,28,5,1,23,2,00:01:19.945000,00:01:21.140000,00:01:21.140000,11
211,28,13,6,2,3,00:01:19.578000,00:01:21.191000,00:01:21.191000,11
212,28,9,2,4,4,00:01:20.053000,00:01:21.281000,00:01:21.281000,11
213,28,10,7,12,5,00:01:19.980000,00:01:21.326000,00:01:21.326000,11
214,28,8,6,1,6,00:01:20.006000,00:01:21.516000,00:01:21.516000,11
215,28,4,4,5,7,00:01:20.229000,00:01:21.698000,00:01:21.698000,11
216,28,17,9,10,8,00:01:20.073000,00:01:21.732000,00:01:21.732000,11
217,28,15,7,11,9,00:01:19.942000,00:01:21.767000,00:01:21.767000,11
218,28,12,4,6,10,00:01:20.583000,00:01:22.371000,00:01:22.371000,11
219,28,20,5,15,11,00:01:20.157000,,,11
220,28,18,11,16,12,00:01:20.888000,,,11
221,28,14,9,9,13,00:01:20.505000,,,11
222,28,7,5,14,14,00:01:20.640000,,,11
223,28,3,3,7,15,00:01:20.748000,,,11
224,28,2,2,3,16,00:01:21.045000,,,11
225,28,6,3,8,17,00:01:21.085000,,,11
226,28,22,11,17,18,00:01:21.332000,,,11
227,28,21,10,21,19,00:01:21.670000,,,11
228,28,16,10,20,20,00:01:22.113000,,,11
229,29,13,6,2,1,00:01:38.176000,00:01:38.989000,00:01:38.989000,12
230,29,1,1,22,2,00:01:38.464000,00:01:39.199000,00:01:39.199000,12
231,29,9,2,4,3,00:01:38.347000,00:01:39.392000,00:01:39.392000,12
232,29,8,6,1,4,00:01:38.703000,00:01:39.488000,00:01:39.488000,12
233,29,5,1,23,5,00:01:38.656000,00:01:39.937000,00:01:39.937000,12
234,29,20,5,15,6,00:01:38.141000,00:01:40.142000,00:01:40.142000,12
235,29,15,7,11,7,00:01:37.948000,00:01:40.309000,00:01:40.309000,12
236,29,2,2,3,8,00:01:38.738000,00:01:40.631000,00:01:40.631000,12
237,29,3,3,7,9,00:01:38.595000,00:01:40.721000,00:01:40.721000,12
238,29,7,5,14,10,00:01:38.622000,00:01:40.750000,00:01:40.750000,12
239,29,6,3,8,11,00:01:38.667000,,,12
240,29,4,4,5,12,00:01:38.268000,,,12
241,29,10,7,12,13,00:01:38.532000,,,12
242,29,17,9,10,14,00:01:38.559000,,,12
243,29,12,4,6,15,00:01:38.787000,,,12
244,29,18,11,16,16,00:01:38.880000,,,12
245,29,14,9,9,17,00:01:39.235000,,,12
246,29,21,10,21,18,00:01:39.268000,,,12
247,29,22,11,17,19,00:01:39.811000,,,12
248,29,16,10,20,20,00:01:39.943000,,,12
249,30,1,1,22,1,00:01:46.887000,00:01:47.338000,00:01:47.338000,13
250,30,13,6,2,2,00:01:46.873000,00:01:47.678000,00:01:47.678000,13
251,30,5,1,23,3,00:01:46.812000,00:01:47.815000,00:01:47.815000,13
252,30,8,6,1,4,00:01:46.960000,00:01:47.992000,00:01:47.992000,13
253,30,2,2,3,5,00:01:47.419000,00:01:48.315000,00:01:48.315000,13
254,30,4,4,5,6,00:01:47.154000,00:01:48.504000,00:01:48.504000,13
255,30,17,9,10,7,00:01:47.270000,00:01:48.736000,00:01:48.736000,13
256,30,9,2,4,8,00:01:47.093000,00:01:48.763000,00:01:48.763000,13
257,30,7,5,14,9,00:01:46.777000,00:01:48.951000,00:01:48.951000,13
258,30,20,5,15,10,00:01:47.152000,00:01:50.319000,00:01:50.319000,13
259,30,15,7,11,11,00:01:47.400000,,,13
260,30,12,4,6,12,00:01:47.052000,,,13
261,30,10,7,12,13,00:01:47.359000,,,13
262,30,14,9,9,14,00:01:47.132000,,,13
263,30,3,3,7,15,00:01:47.503000,,,13
264,30,22,11,17,16,00:01:48.153000,,,13
265,30,18,11,16,17,00:01:48.211000,,,13
266,30,16,10,20,18,00:01:48.226000,,,13
267,30,6,3,8,19,00:01:48.268000,,,13
268,30,21,10,21,20,00:01:48.447000,,,13
269,31,20,5,15,1,00:01:35.464000,00:01:37.555000,00:01:37.555000,14
270,31,5,1,23,2,00:01:35.214000,00:01:37.631000,00:01:37.631000,14
271,31,17,9,10,3,00:01:36.001000,00:01:38.117000,00:01:38.117000,14
272,31,7,5,14,4,00:01:35.543000,00:01:38.445000,00:01:38.445000,14
273,31,3,3,7,5,00:01:35.485000,00:01:38.767000,00:01:38.767000,14
274,31,13,6,2,6,00:01:35.536000,00:01:38.894000,00:01:38.894000,14
275,31,15,7,11,7,00:01:35.906000,00:01:39.152000,00:01:39.152000,14
276,31,4,4,5,8,00:01:36.297000,00:01:39.751000,00:01:39.751000,14
277,31,10,7,12,9,00:01:35.737000,00:01:39.787000,00:01:39.787000,14
278,31,2,2,3,10,00:01:35.709000,00:01:39.906000,00:01:39.906000,14
279,31,9,2,4,11,00:01:35.553000,,,14
280,31,21,10,21,12,00:01:36.280000,,,14
281,31,14,9,9,13,00:01:36.485000,,,14
282,31,8,6,1,14,00:01:35.965000,,,14
283,31,1,1,22,15,00:01:35.394000,,,14
284,31,22,11,17,16,00:01:36.510000,,,14
285,31,12,4,6,17,00:01:36.630000,,,14
286,31,6,3,8,18,00:01:36.653000,,,14
287,31,18,11,16,19,00:01:37.006000,,,14
288,31,16,10,20,20,00:01:37.417000,,,14
289,32,13,6,2,1,00:01:44.519000,00:01:44.801000,00:01:44.801000,15
290,32,1,1,22,2,00:01:44.501000,00:01:45.465000,00:01:45.465000,15
291,32,8,6,1,3,00:01:44.282000,00:01:45.617000,00:01:45.617000,15
292,32,9,2,4,4,00:01:44.740000,00:01:45.779000,00:01:45.779000,15
293,32,5,1,23,5,00:01:44.311000,00:01:45.873000,00:01:45.873000,15
294,32,2,2,3,6,00:01:45.548000,00:01:45.964000,00:01:45.964000,15
295,32,20,5,15,7,00:01:45.042000,00:01:46.244000,00:01:46.244000,15
296,32,10,7,12,8,00:01:45.184000,00:01:46.328000,00:01:46.328000,15
297,32,3,3,7,9,00:01:45.103000,00:01:46.611000,00:01:46.611000,15
298,32,6,3,8,10,00:01:45.127000,00:01:47.547000,00:01:47.547000,15
299,32,15,7,11,11,00:01:45.642000,,,15
300,32,18,11,16,12,00:01:45.660000,,,15
301,32,17,9,10,13,00:01:45.493000,,,15
302,32,14,9,9,14,00:01:46.028000,,,15
303,32,4,4,5,15,00:01:44.971000,,,15
304,32,12,4,6,16,00:01:46.037000,,,15
305,32,7,5,14,17,00:01:46.389000,,,15
306,32,22,11,17,18,00:01:46.583000,,,15
307,32,16,10,20,19,00:01:47.940000,,,15
308,32,21,10,21,20,,,,15
309,33,1,1,22,1,00:01:18.071000,00:01:18.404000,00:01:18.404000,16
310,33,8,6,1,2,00:01:18.160000,00:01:18.644000,00:01:18.644000,16
311,33,5,1,23,3,00:01:18.220000,00:01:18.821000,00:01:18.821000,16
312,33,4,4,5,4,00:01:18.290000,00:01:18.852000,00:01:18.852000,16
313,33,13,6,2,5,00:01:18.110000,00:01:18.874000,00:01:18.874000,16
314,33,9,2,4,6,00:01:18.684000,00:01:18.979000,00:01:18.979000,16
315,33,15,7,11,7,00:01:18.501000,00:01:19.026000,00:01:19.026000,16
316,33,10,7,12,8,00:01:17.945000,00:01:19.118000,00:01:19.118000,16
317,33,20,5,15,9,00:01:18.559000,00:01:19.638000,00:01:19.638000,16
318,33,7,5,14,10,00:01:18.593000,00:01:20.167000,00:01:20.167000,16
319,33,14,9,9,11,00:01:18.303000,,,16
320,33,12,4,6,12,00:01:18.300000,,,16
321,33,17,9,10,13,00:01:18.372000,,,16
322,33,6,3,8,14,00:01:18.640000,,,16
323,33,3,3,7,15,00:01:18.740000,,,16
324,33,2,2,3,16,00:01:18.835000,,,16
325,33,22,11,17,17,00:01:18.882000,,,16
326,33,18,11,16,18,00:01:19.100000,,,16
327,33,16,10,20,19,00:01:19.163000,,,16
328,33,21,10,21,20,00:01:19.910000,,,16
329,34,1,1,22,1,00:01:35.566000,00:01:36.303000,00:01:36.303000,17
330,34,8,6,1,2,00:01:35.983000,00:01:36.645000,00:01:36.645000,17
331,34,13,6,2,3,00:01:35.971000,00:01:36.889000,00:01:36.889000,17
332,34,4,4,5,4,00:01:35.769000,00:01:36.927000,00:01:36.927000,17
333,34,5,1,23,5,00:01:35.623000,00:01:36.930000,00:01:36.930000,17
334,34,17,9,10,6,00:01:36.238000,00:01:37.083000,00:01:37.083000,17
335,34,2,2,3,7,00:01:36.224000,00:01:37.201000,00:01:37.201000,17
336,34,20,5,15,8,00:01:35.752000,00:01:37.685000,00:01:37.685000,17
337,34,15,7,11,9,00:01:36.104000,00:01:37.934000,00:01:37.934000,17
338,34,7,5,14,10,00:01:36.239000,00:01:38.885000,00:01:38.885000,17
339,34,12,4,6,11,00:01:36.029000,,,17
340,34,9,2,4,12,00:01:36.503000,,,17
341,34,10,7,12,13,00:01:36.210000,,,17
342,34,22,11,17,14,00:01:36.640000,,,17
343,34,3,3,7,15,00:01:36.434000,,,17
344,34,14,9,9,16,00:01:36.731000,,,17
345,34,6,3,8,17,00:01:36.863000,,,17
346,34,18,11,16,18,00:01:37.053000,,,17
347,34,16,10,20,19,00:01:37.730000,,,17
348,34,21,10,21,20,00:01:37.739000,,,17
349,35,13,6,2,1,00:01:11.830000,00:01:12.368000,00:01:12.368000,18
350,35,15,7,11,2,00:01:12.226000,00:01:12.737000,00:01:12.737000,18
351,35,8,6,1,3,00:01:12.083000,00:01:12.825000,00:01:12.825000,18
352,35,1,1,22,4,00:01:12.213000,00:01:12.830000,00:01:12.830000,18
353,35,5,1,23,5,00:01:12.366000,00:01:12.917000,00:01:12.917000,18
354,35,4,4,5,6,00:01:12.214000,00:01:12.967000,00:01:12.967000,18
355,35,20,5,15,7,00:01:12.390000,00:01:13.082000,00:01:13.082000,18
356,35,2,2,3,8,00:01:12.371000,00:01:13.297000,00:01:13.297000,18
357,35,7,5,14,9,00:01:12.498000,00:01:14.105000,00:01:14.105000,18
358,35,10,7,12,10,00:01:12.223000,00:01:14.230000,00:01:14.230000,18
359,35,12,4,6,11,00:01:12.348000,,,18
360,35,17,9,10,12,00:01:12.409000,,,18
361,35,9,2,4,13,00:01:12.381000,,,18
362,35,14,9,9,14,00:01:12.690000,,,18
363,35,22,11,17,15,00:01:12.548000,,,18
364,35,6,3,8,16,00:01:12.800000,,,18
365,35,18,11,16,17,00:01:12.810000,,,18
366,35,3,3,7,18,00:01:13.002000,,,18
367,35,21,10,21,19,00:01:13.426000,,,18
368,35,16,10,20,20,00:01:13.508000,,,18
369,36,8,6,6,1,00:01:26.644000,00:01:26.072000,00:01:26.072000,1
370,36,4,1,1,2,00:01:26.697000,00:01:26.493000,00:01:26.493000,1
371,36,2,2,9,3,00:01:26.895000,00:01:26.556000,00:01:26.556000,1
372,36,1,1,2,4,00:01:26.674000,00:01:26.755000,00:01:26.755000,1
373,36,9,2,10,5,00:01:26.696000,00:01:27.347000,00:01:27.347000,1
374,36,21,4,3,6,00:01:27.270000,00:01:27.634000,00:01:27.634000,1
375,36,17,9,15,7,00:01:26.978000,00:01:27.934000,00:01:27.934000,1
376,36,15,7,12,8,00:01:27.014000,00:01:28.404000,00:01:28.404000,1
377,36,23,7,11,9,00:01:27.328000,00:01:28.692000,00:01:28.692000,1
378,36,11,8,22,10,00:01:27.365000,00:01:28.871000,00:01:28.871000,1
379,36,19,8,23,11,00:01:26.986000,,,1
380,36,3,3,16,12,00:01:27.596000,,,1
381,36,5,4,4,13,00:01:27.529000,,,1
382,36,18,11,7,14,00:01:27.540000,,,1
383,36,25,3,17,15,00:01:27.479000,,,1
384,36,13,6,5,16,00:01:26.712000,,,1
385,36,22,11,8,17,00:01:27.679000,,,1
386,36,26,5,19,18,00:01:28.305000,,,1
387,36,14,9,14,19,00:01:28.579000,,,1
388,36,24,5,18,20,00:01:29.267000,,,1
389,36,16,12,20,21,00:01:29.339000,,,1
390,36,27,12,21,22,00:01:31.932000,,,1
391,37,13,6,5,1,00:01:35.340000,00:01:35.043000,00:01:35.043000,2
392,37,4,1,1,2,00:01:34.942000,00:01:35.310000,00:01:35.310000,2
393,37,8,6,6,3,00:01:35.138000,00:01:35.479000,00:01:35.479000,2
394,37,1,1,2,4,00:01:35.028000,00:01:36.045000,00:01:36.045000,2
395,37,2,2,9,5,00:01:35.617000,00:01:36.543000,00:01:36.543000,2
396,37,3,3,16,6,00:01:35.755000,00:01:36.829000,00:01:36.829000,2
397,37,9,2,10,7,00:01:35.294000,00:01:36.839000,00:01:36.839000,2
398,37,15,7,12,8,00:01:35.666000,00:01:36.902000,00:01:36.902000,2
399,37,23,7,11,9,00:01:35.736000,00:01:37.078000,00:01:37.078000,2
400,37,17,9,15,10,00:01:35.727000,00:01:37.345000,00:01:37.345000,2
401,37,5,4,4,11,00:01:36.092000,,,2
402,37,21,4,3,12,00:01:35.879000,,,2
403,37,14,9,14,13,00:01:35.730000,,,2
404,37,11,8,22,14,00:01:36.430000,,,2
405,37,18,11,7,15,00:01:35.913000,,,2
406,37,24,5,18,16,00:01:36.140000,,,2
407,37,26,5,19,17,00:01:36.578000,,,2
408,37,19,8,23,18,00:01:36.816000,,,2
409,37,22,11,8,19,00:01:36.827000,,,2
410,37,25,3,17,20,00:01:37.326000,,,2
411,37,27,12,21,21,00:01:38.279000,,,2
412,37,16,12,20,22,00:01:38.415000,,,2
413,38,13,6,5,1,00:01:32.443000,00:01:32.652000,00:01:32.652000,3
414,38,1,1,2,2,00:01:32.580000,00:01:32.935000,00:01:32.935000,3
415,38,8,6,6,3,00:01:33.161000,00:01:33.131000,00:01:33.131000,3
416,38,4,1,1,4,00:01:33.049000,00:01:33.192000,00:01:33.192000,3
417,38,2,2,9,5,00:01:33.164000,00:01:33.404000,00:01:33.404000,3
418,38,9,2,10,6,00:01:33.348000,00:01:33.710000,00:01:33.710000,3
419,38,21,4,3,7,00:01:33.556000,00:01:34.056000,00:01:34.056000,3
420,38,17,9,15,8,00:01:33.496000,00:01:34.106000,00:01:34.106000,3
421,38,15,7,12,9,00:01:33.218000,00:01:34.154000,00:01:34.154000,3
422,38,3,3,16,10,00:01:33.349000,00:01:34.399000,00:01:34.399000,3
423,38,25,3,17,11,00:01:33.759000,,,3
424,38,5,4,4,12,00:01:33.467000,,,3
425,38,19,8,23,13,00:01:33.299000,,,3
